epoch,loss,lr,top_k_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,2.1403424027288724,0.001,0.7453725,1.3907938003203384,0.8712842
1,1.4471956569422486,0.001,0.8630387,1.221454361490172,0.889688
2,1.3008406039204146,0.001,0.88104516,1.1371869677665636,0.9002046
3,1.2163479512104804,0.001,0.8915751,1.095438260576705,0.90475875
4,1.1620962902814238,0.001,0.89833945,1.070567415497708,0.90746504
5,1.1208523889582112,0.001,0.9025505,1.0533853644116637,0.9089424
6,1.0887417028684367,0.001,0.90637934,1.0245881503697043,0.91158384
7,1.0607124176261142,0.001,0.9095569,1.0209119880042308,0.91245395
8,1.0373208010758603,0.001,0.9121895,1.0142044906881649,0.912821
9,1.017378995187954,0.001,0.9144941,1.0027521284915082,0.9138749
10,1.0020027784057135,0.001,0.9163001,0.9971641520630522,0.9140631
11,0.9868938656815406,0.001,0.9175797,0.9904329042173183,0.9153757
12,0.9731936743193775,0.001,0.9199735,0.9888733183147571,0.91515684
13,0.9638822094038869,0.001,0.9205628,0.9955507336993741,0.91541755
14,0.9520196641418127,0.001,0.92208314,0.987115257732047,0.9153467
15,0.9439523621761697,0.001,0.9225599,0.9863063518827967,0.9156027
16,0.9333734724319828,0.001,0.92434406,0.9830792580213654,0.9158601
17,0.9252702271131129,0.001,0.92485267,0.9842434648147872,0.91571045
18,0.9180346321381178,0.001,0.92597425,0.978217310948747,0.9166117
19,0.9122988678803713,0.001,0.92663544,0.9875344758747879,0.9160394
20,0.9034075906181246,0.001,0.9276459,0.9821898056118241,0.916428
21,0.8975237731620441,0.001,0.9282986,0.9927941351716029,0.9146911
22,0.8923541942947283,0.001,0.9285175,0.9850376832115486,0.9161444
23,0.8881149360262112,0.001,0.92934144,0.9901022848042916,0.91536045
24,0.8817917989204419,0.001,0.93013436,0.98542545831817,0.91556734
25,0.8769917950645297,0.001,0.93051267,0.9786392504489834,0.9163895
26,0.8716484525596769,0.001,0.93087834,0.9857890129731758,0.91527575
27,0.8678803474400548,0.001,0.93152446,0.9897983200298384,0.91578764
28,0.7666928118636341,0.000100000005,0.94157404,0.9560058758424178,0.91985434
29,0.7415853143504689,0.000100000005,0.9439699,0.9552467634293538,0.92023546
30,0.7278040171619448,0.000100000005,0.9454909,0.9524404794927958,0.92016137
31,0.7196674351915727,0.000100000005,0.94635993,0.9539756038048853,0.9202295
32,0.7119637154235534,0.000100000005,0.9469292,0.9548200047983445,0.92019856
33,0.705991627493788,0.000100000005,0.9476355,0.9520574489358771,0.920169
34,0.7011803282540495,0.000100000005,0.94794554,0.9540549647824025,0.9201261
35,0.6960013121915657,0.000100000005,0.9487405,0.9549086458261887,0.92030483
36,0.6919685869262389,0.000100000005,0.9490407,0.9546169817860753,0.9200752
37,0.6874357283345646,0.000100000005,0.94937396,0.9597720100972597,0.9203685
38,0.6826346018943716,0.000100000005,0.949657,0.9606421920948129,0.92046225
39,0.6795072167355329,0.000100000005,0.9503422,0.958292645302994,0.920291
40,0.6756953255684871,0.000100000005,0.9509063,0.9603344231741711,0.92008424
41,0.6723889919350726,0.000100000005,0.950983,0.9601622391444441,0.919981
42,0.6702618454610495,0.000100000005,0.95177585,0.9629775456026511,0.9197649
43,0.6590585347292671,1.0000001e-05,0.9523737,0.9617175953322462,0.92023075
44,0.6570493210850233,1.0000001e-05,0.95267916,0.9620293095350474,0.92007184
45,0.6543726588539001,1.0000001e-05,0.9527023,0.9621731311854247,0.9201429
46,0.6535403173914823,1.0000001e-05,0.9527235,0.9614082198784945,0.92006433
47,0.6527083197984036,1.0000001e-05,0.95300984,0.9619754332994888,0.92006433
48,0.6522462967031065,1.0000001e-05,0.95307595,0.9630061386172427,0.9203497
